Wall time,Step,Value
1615217190.136324,0,0.11556003242731094
1615217746.461541,1,0.07687196880578995
1615218302.376678,2,0.06692841649055481
1615218857.909373,3,0.06265027076005936
1615219414.267216,4,0.05756542459130287
1615219968.933586,5,0.058048903942108154
1615220522.824688,6,0.054683636873960495
1615221079.330121,7,0.054441455751657486
1615221635.107619,8,0.052638642489910126
1615222189.662648,9,0.05057696998119354
1615222737.289331,10,0.05418602377176285
1615223285.245761,11,0.048302244395017624
1615223842.032018,12,0.04783632978796959
1615224393.60971,13,0.046614062041044235
1615224945.657033,14,0.04730537161231041
